Rank,Name,Matches,Inns,Avg,SR,HS,Fours,Sixs,Fifty,Century,Runs
1,Sachin Tendulkar,463,452,44.83,86.23,200,2016,195,96,49,18426
2,Virat Kohli,302,290,57.88,93.34,183,1325,152,74,51,14181
3,Sourav Ganguly,311,300,41.02,73.7,183,1122,190,72,22,11363
4,Rohit Sharma,273,265,48.76,92.8,264,1045,344,58,32,11168
5,Rahul Dravid,344,318,39.16,71.23,153,950,42,83,12,10889
6,MS Dhoni,350,297,50.57,87.56,183,826,229,73,10,10773
7,Mohammad Azharuddin,334,308,36.92,74.02,153,622,77,58,7,9378
8,Yuvraj Singh,304,278,36.55,87.67,150,908,155,52,14,8701
9,Virender Sehwag,251,245,35.05,104.33,219,1132,136,38,15,8273
10,Shikhar Dhawan,167,164,44.11,91.35,143,842,79,39,17,6793
11,Suresh Raina,226,194,35.31,93.5,116,476,120,36,5,5615
12,Ajay Jadeja,196,179,37.47,69.79,119,366,85,30,6,5359
13,Gautam Gambhir,147,143,39.68,85.25,150,561,17,34,11,5238
14,Navjot Sidhu,136,127,37.08,69.72,134,335,44,33,6,4413
15,Kris Srikkanth,146,145,29.01,71.74,123,0,0,27,4,4091
16,Kapil Dev,225,198,23.79,95.07,175,291,67,14,1,3783
17,Dilip Vengsarkar,129,120,34.73,67.74,105,228,24,23,1,3508
18,Ravi Shastri,150,128,29.04,61.07,109,206,25,18,4,3108
19,Sunil Gavaskar,108,102,35.13,62.26,103,234,21,27,1,3092
20,KL Rahul,85,79,49.08,88.17,112,235,67,18,7,3043
21,Ajinkya Rahane,90,87,35.26,78.63,111,293,33,24,3,2962
22,Shreyas Iyer,70,65,48.22,100.0,128,262,72,22,5,2845
23,Ravindra Jadeja,204,137,32.62,85.44,87,205,54,13,0,2806
24,Shubman Gill,55,55,59.04,99.56,208,313,59,15,8,2775
25,Mohammad Kaif,125,110,32.01,72.03,111,228,9,17,2,2753
26,Vinod Kambli,104,97,32.59,71.94,106,187,20,14,2,2477
27,VVS Laxman,86,83,30.76,71.23,131,222,4,10,6,2338
28,Sanjay Manjrekar,74,70,33.23,64.3,105,99,10,15,1,1994
29,Mohinder Amarnath,85,75,30.53,57.7,102,123,9,13,2,1924
30,Hardik Pandya,94,68,32.82,110.89,92,141,76,11,0,1904
31,Manoj Prabhakar,130,98,24.12,60.26,106,0,0,11,2,1858
32,Dinesh Karthik,94,79,30.2,73.24,79,176,15,9,0,1752
33,Ambati Rayudu,55,50,47.05,79.04,124,145,30,10,3,1694
